Time,B-G,B-G error,TIme,G-R,G-R error,TIme,B-R,B-R error
2022.73774075854,-0.081508041918,0.107307429208786,2022.73774113901,0.1048065118561,0.101953762265987,2022.73774183653,0.6751511977958,0.0935935840552285
2022.73774094877,-0.0094319957401,0.124883327622569,2022.73774151948,0.1968711902687,0.104213229017292,2022.73774234383,0.052537972944,0.0914974689656504
2022.73774113901,0.2093404206659,0.169826221511256,2022.73774170971,0.2231350793105,0.108379481904235,2022.73774272454,0.5067323491481,0.085539393194592
2022.73774151948,0.4325017491126,0.111605650499072,2022.73774272454,0.2864308688381,0.113650780403203,2022.73774297818,0.4623044022802,0.155172655404806
2022.73774170971,0.1247406471207,0.111358242596197,2022.73774297818,0.2525728378768,0.123550216189877,2022.73774323183,0.4163606917128,0.089234633377274
2022.73774183653,-0.1061785344936,0.11198949667461,2022.73774323183,0.2203148482564,0.108027179948701,2022.7377436123,0.532207859982,0.0887871361678721
2022.73774234383,0.1664236426888,0.114793106625342,2022.7377436123,0.3326057673383,0.133800906564235,2022.73774380253,0.2589970168292,0.0893329160532957
2022.73774247065,0.1765143405995,0.120080301824652,2022.73774421471,0.0519870677251,0.109747851445202,2022.73774421471,0.3965276481231,0.0900495934073109
2022.73774272454,0.22030148031,0.11883872762987,2022.73774484907,0.0321797360499,0.109961111284963,2022.73774453201,0.22950472136,0.0933496725925888
2022.73774297818,0.2097315644034,0.118465429350279,2022.7377450393,0.1316780749627,0.10897306503063,2022.73774484907,0.287975416687,0.0915553139192334
2022.73774323183,0.1960458434564,0.123027561142795,2022.73774522953,0.1271914986136,0.109106274647956,2022.7377450393,0.5822936976016,0.0884210675050319
2022.7377436123,0.1996020926437,0.117925751934131,2022.73774561,0.1178001798065,0.109462791794865,2022.73774522953,0.2584447315526,0.09469854588246
2022.73774380253,0.3439990651577,0.114988602458805,2022.73774580024,0.2432249506385,0.115755631605863,2022.73774561,0.3592086786746,0.0915722087162925
2022.73774421471,0.344540580398,0.117634735988494,2022.73774592706,0.1695099314916,0.114826294605705,2022.73774580024,0.3071269563347,0.0951100851976533
2022.73774453201,0.3447783990898,0.11706545478322,2022.73774637118,0.2834069793806,0.116635444430342,2022.73774592706,0.2150711629547,0.0923143638999461
2022.73774484907,0.2557956806371,0.111700912722808,2022.73774656142,0.2736286958227,0.110731244642289,2022.73774637118,0.3641017909259,0.0908525774625688
2022.7377450393,0.4506156226389,0.113193595494165,2022.73774662483,0.1988992264491,0.117423439269437,2022.73774656142,1.374431538739,0.089284397156887
2022.73774522953,0.131253232939,0.201543903586276,2022.73774687848,0.2887144460825,0.115263684338878,2022.73774662483,0.5100510122594,0.0890517988367546
2022.73774561,0.2414084988681,0.123318443534359,2022.73774719553,0.2207950154402,0.108317978077574,2022.73774687848,0.4372346323607,0.090399045821054
2022.73774580024,0.0639020056962,0.113185150476727,2022.73774744918,0.4142737953923,0.114313996126828,2022.73774719553,0.7000829307445,0.0915913813267736
2022.73774592706,0.0455612314631,0.136175487610483,2022.73774836889,0.5425571750517,0.114587641680942,2022.73774744918,0.9188236634434,0.0960020580067371
2022.73774637118,0.0806948115453,0.139675535096236,2022.73774887618,0.5443958956895,0.110212308633083,2022.73774821012,0.9809609839458,0.0890766301566305
2022.73774662483,0.3111517858103,0.135853445248101,2022.73774932006,0.5741859950237,0.201246551182115,2022.73774836889,0.990303060479,0.0915843187164578
2022.73774687848,0.1485201862782,0.13303831977057,2022.73775109583,0.3521412129215,0.123080808560177,2022.73774887618,0.902540616795,0.090164386355427
2022.73774719553,0.4792879153043,0.119202147690411,2022.73775185676,0.1390030449371,0.113882058369309,2022.73774932006,0.9818273732863,0.0890423968134075
2022.73774744918,0.5045498680511,0.124191360213797,2022.73775211065,0.0738876703711,0.133796234619522,2022.73774944688,1.1260369057948,0.0672453728410765
2022.73774795647,0.576296624559,0.143908200543103,2022.73775223748,0.0881381112051,0.125005267762425,2022.73775001759,0.9103383245519,0.0863498615606962
2022.73774801988,0.6893481180212,0.129989866364255,2022.73775391788,0.297937169498,0.13520265681984,2022.73775115924,0.8569825699025,0.0969597993416438
2022.73774821012,0.2628049779522,0.110241000213829,2022.73775461565,0.4750932164906,0.141221145153639,2022.73775211065,0.8906664721132,0.100793213568903
2022.73774836889,0.4477458854273,0.129618020703359,2022.73775563023,0.2753419540035,0.142553118670794,2022.73775223748,0.703287467442,0.0941465665540134
